ID,Name,Disciplines,Projects,Organisations,Publications
b26c0fa9-2c70-4e49-b808-0b5182e6a9d7,Samaneh Hashemikia,"['02050102', '02050301', '02050101', '02050403', '02050699', '02059902']",[],['0016eb38-4374-4747-a43f-c408af2c2d70'],[]
ad0a9425-9a02-4dc2-91f9-d6d465eab79b,Hans Robben,['07000000'],['5cb804c9-cb3c-4cd9-a783-9522944c58f8'],['59108103-d60b-4f87-bdac-d348df869902'],[]
cbf9deb0-5198-4f8d-a72b-029378eb016b,Marianne Buyle,[],[],['8de8fb5d-54c2-4911-b13f-9cb35721d086'],"['7f1e8937-adc1-4ea9-989c-4b0193ef1b7b', 'be3251f0-ebf2-4bb4-ac7b-961728243b83', '87e30634-9140-4d9e-a3ab-4f3208eaa214', '63dcc7fa-c102-4411-a97e-7c8122a7f531', 'cab72a8b-a934-4b1a-92fa-606b3d7f84c7', 'book-component:cab72a8b-a934-4b1a-92fa-606b3d7f84c7', '5290e2b5-985a-4717-9a1c-b5753677d2b8', '051cbf4a-b6a0-490e-9fae-9d1933179a9a', 'book-component:051cbf4a-b6a0-490e-9fae-9d1933179a9a', '2942e31b-1baf-4e0b-bbb7-7ee952eba80a', '87c54e62-1f19-444d-b8ba-80045824abfc', 'book-component:87c54e62-1f19-444d-b8ba-80045824abfc', '78dc4dc8-7eb1-42ac-8021-7c1d39c274b1', 'cf22841c-1088-4550-b206-d2ca75de5d24', 'a11370f4-24af-417b-b72a-5012e3a0235f', '04dac9d6-ac0a-4432-852d-a7ae66185416', '0a1608d4-404f-4a0d-8b1d-42004a91e102', 'book-component:0a1608d4-404f-4a0d-8b1d-42004a91e102', 'ac133dc3-feed-4718-8453-4e4a9c4f084d', '76a73ab9-7abe-4d93-a2eb-494819463014', 'fa15a92e-2012-49b3-9dbf-aa18bda776ef', 'a5a02ba8-e3e1-4386-b211-0294b7df9772', '9a7dec63-99e8-4f04-b127-aa52b4959747', '421bcb14-f163-4941-bca3-b8c7efee182d', 'book-component:421bcb14-f163-4941-bca3-b8c7efee182d', '07e4139c-2445-4b60-9303-a2e812de754c', 'book-component:07e4139c-2445-4b60-9303-a2e812de754c', '33b78575-bcd8-4e9d-817d-a0badd0b8e64', 'book-component:33b78575-bcd8-4e9d-817d-a0badd0b8e64', '5eb29017-4320-4eb3-ada8-bc457dccf520', 'book-component:5eb29017-4320-4eb3-ada8-bc457dccf520', '1f6d30da-572d-468d-bfa9-c84338a66536', 'book-component:1f6d30da-572d-468d-bfa9-c84338a66536', 'f507443b-31db-4add-b92d-90b579c4840e', '3deb3f4e-a6cd-4130-9cea-d658494452ad', '0f714392-1ca6-4fa4-bfbd-77af3ba9c591', '90203caf-49c7-45d3-be2e-910d2f01d5d2', 'b8dd0ddc-7037-40b5-a001-e3fb8c7a5832', 'aeb4f801-7ebc-431e-b2d7-366c864c7cd3', 'c67fdb78-a823-4294-9df7-23708e9069d1', '5551a0ef-660b-4b5f-9f87-92f85feb4cca', '38b7341e-22a2-4789-8a08-e5d8aa205f63', '8a6bf9ae-396f-4f4e-ae44-f0f09c51148a', 'b5a9728c-16c7-491a-b02f-a843148fdfee', '0cdad6bb-b4b2-4d92-99f1-13c312fd625a', 'ac939d81-5921-43e5-9795-a18e7681e2c1']"
9774ae5e-1afc-4383-97fc-242384ce6582,Meryam El Hajjioui,[],[],['988f4aac-a64c-428c-8738-3b250031520d'],[]
988e8229-bc41-4989-9a47-f986a01b30dd,Martijn BOLLEN,"['01069999', '01010703', '01060404', '01060412']",['87b820c1-442b-4348-87f7-34845e571c5e'],"['3d3e3cc9-0f76-41d9-9d03-d6cca2fb3b76', '60e1f554-1c7c-43cb-a94e-0a2f867bb3be', 'e86a9fc3-da2b-4f6b-8c28-88ec0d42ba69', 'e6cc2bcd-21a4-4266-b8f5-c74bed27478c']",[]
53157545-b57b-45c0-a3be-85c485e3f528,Bram Vandekerckhove,['02060302'],[],['139a6099-d605-4adc-8aea-f16604081f68'],"['20844bd1-0298-48a0-8f76-e9d0eada46c8', '3aed38de-7598-4057-af45-ec1a4b33bb9e']"
c8141ae3-08a2-4025-a43e-b08544822596,Bjarne Brié,"['01020104', '05020607']",['cd51dcdc-2929-4a31-ae43-85efc0c2f1d0'],['fd34a10e-71f6-4db9-acc0-238983fdb834'],[]
b3a850d9-9548-45d2-9a63-a9dcb7854cf2,Nick Dewaele,['01010701'],['acd17800-2718-40a3-8cbb-0aa118062555'],['252fe80f-c8b6-4cac-bb7c-a761a093fe66'],[]
8ee0f3bc-de3c-49fa-896e-84da33901301,Janne Bemelmans,"['04010308', '05020101', '05020107', '05060399']",['140a50eb-1adb-4acc-a734-ea06307c739b'],"['a4fa9f04-7458-4b0b-bbce-f184b253499d', '224b3dd3-2e8d-4b66-b6a9-27bd1014e442']",[]
00631827-e770-4481-b1d4-b71a44eaf302,Wouter Demeester,"['02070207', '02070206', '01060312']",['e579fcde-584e-4ba8-9398-93ca338ec684'],['ce1ce9f0-d2d4-4e62-9383-98393355ddf9'],[]
