ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
14652def-fa3a-4c5e-baf9-1f415ac49a86,Bricks plus clicks: the success factors of multi-channel retailing.,2016-10-01Z,2018-01-12Z,['050207'],"['3c29dffa-2cf7-40f8-b2b2-16bf0b220e32', 'de0c3940-6819-4267-84d7-3d3731e405e4']","['4cc90c09-dadc-4d8e-bf66-706d2c642549', '4cc90c09-dadc-4d8e-bf66-706d2c642549']",[],1
a9187d19-7d7a-498a-9c2b-35b86f944e83,Restorative utopias in dystopian times: The shaping of restorative justice in the European penal systems and policies,2018-10-01Z,2021-09-30Z,['050501'],"['57570282-4d7e-4e5b-9210-2197d8c2b5e2', '0a371b4f-8a0e-48fd-961b-25aa8bde55e9', 'a9c31bc7-8215-4a3b-a8a3-185212bb723b']","['1ed069ba-7bf2-4320-95ae-4985d2c5d328', '1ed069ba-7bf2-4320-95ae-4985d2c5d328', '1ed069ba-7bf2-4320-95ae-4985d2c5d328']",[],1
19260040-95ec-49a5-9e04-bf252adc6ade,Consistency à la carte: A general-purpose framework for scalable mixed-consistency applications,2019-01-01Z,2020-12-31Z,['02089999'],"['c59c4bd3-0d74-4de1-8354-174ecb2985c9', '4739449e-9d49-4da6-a0d7-cc6585dd74d8']","['82742f46-7169-4b49-8844-4d9a76a03af9', '82742f46-7169-4b49-8844-4d9a76a03af9']",[],1
cb284d07-645a-416a-b12a-b9504811a772,Molecular mechanisms of zinc tolerance in Suillus luteus.,2010-01-01Z,2013-12-31Z,['0106'],['bc2403c8-5d49-4368-898f-88973ababc81'],['58b47c4b-995b-4a44-a894-62b6e44eb31b'],[],1
4dfc406f-62ac-41cb-ba1f-daa14dfd75f5,Communities without citizens. A sociological analysis of the discursive construction of moral status in Belgian asylum centres.,2012-10-01Z,2014-09-30Z,"['050402', '050404', '050406', '050407', '050408', '050410', '050499', '060201', '060203', '060204', '060205', '060206', '060299']","['22525d85-df4a-4213-b659-ff9e8c8a21c1', '32530f09-ea28-4924-95e0-261a993c4c5e']","['a9069ebd-6157-46d4-a1ed-f6b0ac0700ea', 'a9069ebd-6157-46d4-a1ed-f6b0ac0700ea']",[],1
d89d912a-4917-42cd-b75c-5165185adb4c,Transcriptional mechanisms of the temporal control of human cortical neuron differentiation.,2019-01-01Z,2022-12-31Z,['03012301'],['5d539e7e-2af1-4842-83a9-d383528e73f0'],['2000dfec-9b66-4e65-a73c-1bd69fa18149'],[],1
9b0f1aac-fca8-402e-8626-f48136794beb,Local and systemic immune interactions in malignant gliomas,2013-08-01Z,2017-12-19Z,"['030122', '030124', '030622', '030624', '030114', '030614', '030123', '030623', '050103', '050105', '050106', '030501', '030502', '030504', '030506', '030507', '030508', '030509', '030510', '030599']","['4a5d5941-b361-4d41-9160-2e8b68fc127e', '5dcb2946-2c6e-4092-9f28-d3d2180f5cc2', '0171c039-4a6f-42c2-8338-81a4f6352a51']","['df916d65-14ab-4815-8477-69054b74fb1d', '394fd7a0-ae99-440a-ac07-9ac0365d80a9', '394fd7a0-ae99-440a-ac07-9ac0365d80a9']",[],1
b4da5de2-81ed-48d6-8020-e771a447b809,Advanced oxidation technology for the removal of pharmaceuticals in environmental waters,2007-01-01Z,2012-10-31Z,"['010703', '020406', '010407', '010701']","['b326179f-5edf-4b45-91e4-f779acc7ff8a', 'f027f837-7ea6-49fd-be66-9cb6ed490646']","['b42d8828-1792-4824-a8d8-0cf574d93783', 'baf2328c-ac14-4990-8086-1126ac6cea11']",[],1
f67ab2ca-bbd4-40c2-88a4-534f83ea689f,"Development of a medium speed internal combustion engine and extremely low emissions, suitable as diesel, dual fuel- and heavy fuel engine.",2009-12-01Z,2015-01-31Z,"['020307', '020308']",['783d35eb-c323-4c51-953b-1874d6f09294'],['78b25da4-0f94-4607-ab73-24faf663611e'],[],1
0179971f-f897-4788-af5e-f03e5582c462,Indigenous Legal Systems and their Compatibility with Internationally Recognised Human Rights Standards,2011-10-01Z,2017-05-10Z,['050502'],"['80aabaa2-0163-4ef4-9207-95d5f7a6f20c', '80aabaa2-0163-4ef4-9207-95d5f7a6f20c']","['1fb0ef6a-3d2c-461f-ae93-b2966b4c8392', '795a2ee5-c996-4baf-9a74-91190fad9921']",[],1
96d3aa56-0ea9-4db1-ab2e-fafc7afbd0b7,Structural visualization of the endocytic TPLATE complex,2019-01-01Z,2022-12-31Z,"['030120', '010608', '010611', '030116', '030616', '030620', '030216']",['44e89c7e-04fd-43e2-af8f-274ce031a1f9'],['37e63935-be43-4a88-8f83-97da12647a08'],[],1
e5316f40-ef2d-4b1e-b56d-eacbbb459c3b,Modular Analysis and Design of Hash Functions and Block Ciphers.,2012-10-01Z,2015-09-30Z,"['020206', '020601', '020804']","['bdc3a972-b80c-4148-a5b6-d6418215b8d1', '07ab27be-2354-4bf2-9059-b4ddcff4d8db']","['3effaa33-9459-4bf1-b44f-7d94bbf1d7bc', '3effaa33-9459-4bf1-b44f-7d94bbf1d7bc']",[],1
1f92a45f-54bf-4e24-84e0-93fae5ceda22,Sexual health in Flanders II &#34;SEXPERT-II&#34;.,2011-05-01Z,2014-05-31Z,[],['e91a439f-a1ce-4a80-af79-d1c0d5538208'],['fcfb32bf-3e74-4a60-bae6-08f6b0a10b30'],[],1
